Altitude (km)	Density (kg/m^3)
86.0	6.958E-06
86.5	6.366E-06
87.0	5.824E-06
87.5	5.328E-06
88.0	4.875E-06
88.5	4.460E-06
89.0	4.081E-06
89.5	3.734E-06
90.0	3.416E-06
90.5	3.126E-06
91.0	2.860E-06
91.5	2.616E-06
92.0	2.393E-06
92.5	2.188E-06
93.0	2.000E-06
93.5	1.828E-06
94.0	1.670E-06
94.5	1.526E-06
95.0	1.393E-06
95.5	1.273E-06
96.0	1.162E-06
96.5	1.061E-06
97.0	9.685E-07
97.5	8.842E-07
98.0	8.071E-07
98.5	7.367E-07
99.0	6.725E-07
99.5	6.139E-07
100.0	5.604E-07
101.0	4.695E-07
102.0	3.935E-07
103.0	3.300E-07
104.0	2.769E-07
105.0	2.325E-07
106.0	1.954E-07
107.0	1.643E-07
108.0	1.381E-07
109.0	1.161E-07
110.0	9.708E-08
111.0	8.111E-08
112.0	6.838E-08
113.0	5.811E-08
114.0	4.975E-08
115.0	4.289E-08
116.0	3.720E-08
117.0	3.246E-08
118.0	2.847E-08
119.0	2.509E-08
120.0	2.222E-08
121.0	1.977E-08
122.0	1.767E-08
123.0	1.585E-08
124.0	1.428E-08
125.0	1.291E-08
126.0	1.171E-08
127.0	1.065E-08
128.0	9.717E-09
129.0	8.889E-09
130.0	8.152E-09
131.0	7.494E-09
132.0	6.904E-09
133.0	6.374E-09
134.0	5.897E-09
135.0	5.465E-09
136.0	5.074E-09
137.0	4.719E-09
138.0	4.396E-09
139.0	4.101E-09
140.0	3.831E-09
141.0	3.584E-09
142.0	3.358E-09
143.0	3.150E-09
144.0	2.958E-09
145.0	2.781E-09
146.0	2.618E-09
147.0	2.466E-09
148.0	2.326E-09
149.0	2.196E-09
150.0	2.076E-09
151.0	1.963E-09
152.0	1.859E-09
153.0	1.761E-09
154.0	1.670E-09
155.0	1.585E-09
156.0	1.505E-09
157.0	1.431E-09
158.0	1.361E-09
159.0	1.295E-09
160.0	1.233E-09
161.0	1.175E-09
162.0	1.121E-09
163.0	1.069E-09
164.0	1.021E-09
165.0	9.750E-10
166.0	9.319E-10
167.0	8.911E-10
168.0	8.525E-10
169.0	8.161E-10
